case,literature,网具,类,型,式,FAO.class.full,FAO.class,gear.1,gear.2,gear.3,使用限制,gear.use
1,1,三重刺网-定置,刺网,三重,定置,gillnets and entangling nets,g,gillnet,trammel,fixed,过渡渔具,transitional
2,1,三重刺网-漂流,刺网,三重,漂流,gillnets and entangling nets,g,gillnet,trammel,drift,过渡渔具,transitional
3,1,单片刺网-定置,刺网,单片,定置,gillnets and entangling nets,g,gillnet,single,fixed,准用渔具,permissible
4,1,单片刺网-漂流,刺网,单片,漂流,gillnets and entangling nets,g,gillnet,single,drift,准用渔具,permissible
5,2,桁杆虾拖网,拖网,桁杆,单船,trawls,trawls,trawl,beam,single,过渡渔具,transitional
6,3,灯光罩网,掩罩,/,/,falling gear,f,falling net,/,/,准用渔具,permissible
7,4,单片刺网,刺网,单片,漂流,gillnets and entangling nets,g,gillnet,single,drift,准用渔具,permissible
8,4,双重刺网,刺网,双重,漂流,gillnets and entangling nets,g,gillnet,double,drift,过渡渔具,transitional
9,4,三重刺网,刺网,三重,漂流,gillnets and entangling nets,g,gillnet,trammel,drift,过渡渔具,transitional
10,5,张网,张网,有翼单囊,双桩,traps,traps,stow net,winged single-bag,two-peg,过渡渔具,transitional
11,6,双桩竖杆张网,张网,竖杆,双桩,traps,traps,stow net,vertical,two-peg,过渡渔具,transitional
12,6,双桩竖杆张网,张网,竖杆,双桩,traps,traps,stow net,vertical,two-peg,过渡渔具,transitional
13,7,帆张网,张网,张纲,单锚,traps,traps,stow net,canvas,single-anchor,过渡渔具,transitional
14,8,灯光罩网,掩罩,/,/,falling gear,f,falling net,/,/,准用渔具,permissible
15,9,桁杆虾拖网,拖网,桁杆,单船,trawls,trawls,trawl,beam,single,过渡渔具,transitional
16,10,桁杆虾拖网,拖网,桁杆,单船,trawls,trawls,trawl,beam,single,过渡渔具,transitional
17,11,漂流单片刺网,刺网,单片,漂流,gillnets and entangling nets,g,gillnet,single,drift,准用渔具,permissible
18,12,漂流单片刺网,刺网,单片,漂流,gillnets and entangling nets,g,gillnet,single,drift,准用渔具,permissible
19,13,桁杆虾拖网,拖网,桁杆,单船,trawls,trawls,trawl,beam,single,过渡渔具,transitional
20,14,蟹笼,笼壶,倒须,定置延绳,traps,traps,cage/pot,/,/,准用渔具,permissible
21,15,须子网,陷阱,插网,导陷,traps,traps,entrapment net,/,/,禁用渔具,prohibited
22,15,须子网,陷阱,插网,导陷,traps,traps,entrapment net,/,/,禁用渔具,prohibited
23,16,双船有翼单囊拖网,拖网,有翼单囊,双船,trawls,trawls,trawl,winged single-bag,pair,过渡渔具,transitional
24,16,双船有翼单囊拖网,拖网,有翼单囊,双船,trawls,trawls,trawl,winged single-bag,pair,过渡渔具,transitional
25,16,双船有翼单囊拖网,拖网,有翼单囊,双船,trawls,trawls,trawl,winged single-bag,pair,过渡渔具,transitional
26,17,双桩竖杆张网,张网,竖杆,双桩,traps,traps,stow net,vertical,two-peg,过渡渔具,transitional
27,18,单拖网,拖网,/,单船,trawls,trawls,trawl,/,single,过渡渔具,transitional
28,19,单船单囊桁杆虾拖网,拖网,桁杆,单船,trawls,trawls,trawl,beam,single,过渡渔具,transitional
29,19,单船单囊桁杆虾拖网,拖网,桁杆,单船,trawls,trawls,trawl,beam,single,过渡渔具,transitional
30,20,张网,张网,/,/,traps,traps,stow net,/,/,过渡渔具,transitional
31,20,张网,张网,/,/,traps,traps,stow net,/,/,过渡渔具,transitional
32,20,张网,张网,/,/,traps,traps,stow net,/,/,过渡渔具,transitional
33,21,张网,张网,/,/,traps,traps,stow net,/,/,过渡渔具,transitional
34,22,帆张网,张网,张纲,单锚,traps,traps,stow net,canvas,single-anchor,过渡渔具,transitional
35,23,单船有翼单囊底拖网,拖网,有翼单囊,单船,trawls,trawls,trawl,winged single-bag,single,过渡渔具,transitional
36,24,双桩桁杆张网,张网,桁杆,双桩,traps,traps,stow net,singel-stake,two-peg,过渡渔具,transitional
37,24,双桩桁杆张网,张网,桁杆,双桩,traps,traps,stow net,singel-stake,two-peg,过渡渔具,transitional
38,24,双桩桁杆张网,张网,桁杆,双桩,traps,traps,stow net,singel-stake,two-peg,过渡渔具,transitional
39,24,双桩桁杆张网,张网,桁杆,双桩,traps,traps,stow net,singel-stake,two-peg,过渡渔具,transitional
40,25,三重刺网+单片刺网,刺网,单片+三重,漂流,gillnets and entangling nets,g,gillnet,trammel/single,drift,过渡渔具,transitional
41,25,三重刺网+单片刺网,刺网,单片+三重,漂流,gillnets and entangling nets,g,gillnet,trammel/single,drift,过渡渔具,transitional
42,25,三重刺网+单片刺网,刺网,单片+三重,漂流,gillnets and entangling nets,g,gillnet,trammel/single,drift,过渡渔具,transitional
43,25,三重刺网+单片刺网,刺网,单片+三重,漂流,gillnets and entangling nets,g,gillnet,trammel/single,drift,过渡渔具,transitional
