case,literature,gear,FAO.class.full,FAO.class,gear.use,目标种,target.species,No.species,target.species.ratio,bycatch.ratio,物种属,Group,scenario,note
1,1,三重刺网-定置,gillnets and entangling nets,g,transitional,口虾蛄,mantis shrimp,19,0.94,0.06,虾类,shrimp,,
2,1,三重刺网-漂流,gillnets and entangling nets,g,transitional,口虾蛄,mantis shrimp,19,0.77,0.23,虾类,shrimp,,
3,1,单片刺网-定置,gillnets and entangling nets,g,permissible,口虾蛄,mantis shrimp,3,0.96,0.04,虾类,shrimp,,
4,1,单片刺网-漂流,gillnets and entangling nets,g,permissible,口虾蛄,mantis shrimp,6,0.79,0.21,虾类,shrimp,,
5,2,桁杆虾拖网,trawls,trawls,transitional,虾,shrimp,135,0.28,0.72,虾类,shrimp,,
6,3,灯光罩网,falling gear,f,permissible,鸢乌贼、中上层鱼类,squid+pelagic,92,0.96,0.04,头足类、鱼类,cephalopods+fish,,
13,7,帆张网,traps,traps,transitional,小黄鱼、带鱼,small yellow croaker+hairtail,30,0.74,0.26,鱼类,fish,,
14,8,灯光罩网,falling gear,f,permissible,鸢乌贼、中上层鱼类,squid+pelagic,46,0.99,0.01,头足类、鱼类,cephalopods+fish,,
15,9,桁杆虾拖网,trawls,trawls,transitional,虾,shrimp,71,0.97,0.03,虾类,shrimp,,
16,10,桁杆虾拖网,trawls,trawls,transitional,虾,shrimp,36,0.35,0.65,虾类,shrimp,,
17,11,漂流单片刺网,gillnets and entangling nets,g,permissible,马鲛,mackerel,11,0.9,0.1,鱼类,fish,,
18,12,漂流单片刺网,gillnets and entangling nets,g,permissible,龙头鱼,Bombay duck,39,0.64,0.36,鱼类,fish,,
19,13,桁杆虾拖网,trawls,trawls,transitional,虾,shrimp,62,0.64,0.36,虾类,shrimp,,
20,14,蟹笼,traps,traps,permissible,蟹,crab,72,0.39,0.61,鱼类,fish,,
28,19,单船单囊桁杆虾拖网,trawls,trawls,transitional,虾,shrimp,63,0.15,0.85,虾类,shrimp,春,
29,19,单船单囊桁杆虾拖网,trawls,trawls,transitional,虾,shrimp,39,0,1,虾类,shrimp,秋,
33,21,张网,traps,traps,transitional,毛虾,planktonic shrimp,97,0.24,0.76,虾类,shrimp,,
34,22,帆张网,traps,traps,transitional,小黄鱼、带鱼,small yellow croaker+hairtail,30,0.74,0.26,鱼类,fish,,
40,25,三重刺网+单片刺网,gillnets and entangling nets,g,transitional,海蜇、虾、蓝点马鲛、蟹、青鳞小沙丁,jelly fish+shrimp+mackerel+crab+sardine,10,0.95,0.05,鱼类,fish,A作业类型,
41,25,三重刺网+单片刺网,gillnets and entangling nets,g,transitional,海蜇、虾、蓝点马鲛、蟹、青鳞小沙丁,jelly fish+shrimp+mackerel+crab+sardine,12,0.73,0.27,鱼类,fish,B作业类型,
42,25,三重刺网+单片刺网,gillnets and entangling nets,g,transitional,海蜇、虾、蓝点马鲛、蟹、青鳞小沙丁,jelly fish+shrimp+mackerel+crab+sardine,12,0.53,0.47,鱼类,fish,C作业类型,
43,25,三重刺网+单片刺网,gillnets and entangling nets,g,transitional,海蜇、虾、蓝点马鲛、蟹、青鳞小沙丁,jelly fish+shrimp+mackerel+crab+sardine,12,0.81,0.19,鱼类,fish,D作业类型,
52,30,大型钢质灯光罩网,falling gear,f,permissible,鸢乌贼、中上层鱼类,squid+pelagic,NA,0.97,0.03,头足类、鱼类,cephalopods+fish,近海陆架区,
53,30,大型钢质灯光罩网,falling gear,f,permissible,鸢乌贼、中上层鱼类,squid+pelagic,NA,0.98,0.02,头足类、鱼类,cephalopods+fish,外海深水区,
61,33,单片型刺网,gillnets and entangling nets,g,permissible,口虾蛄,mantis shrimp,12,0.52,0.48,虾类,shrimp,单片刺网,
62,33,"双重型刺
网",gillnets and entangling nets,g,transitional,口虾蛄,mantis shrimp,12,0.16,0.84,虾类,shrimp,"双重刺
网",
63,33,三重刺网,gillnets and entangling nets,g,transitional,口虾蛄,mantis shrimp,12,0.37,0.63,虾类,shrimp,三重刺网,
64,34,定置张网,traps,traps,transitional,鳗苗,eel juveniles,75,0.01,0.99,鱼类,fish,,
69,37,灯光罩网,falling gear,f,permissible,鸢乌贼、中上层鱼类,squid+pelagic,40,0.94,0.04,头足类、鱼类,cephalopods+fish,春,
70,37,灯光罩网,falling gear,f,permissible,鸢乌贼、中上层鱼类,squid+pelagic,72,0.97,0.03,头足类、鱼类,cephalopods+fish,秋,
71,38,蟹笼,traps,traps,permissible,蟹类,crab,25,0.98,0.02,蟹类,crab,,
86,42,延绳钓,hooks and lines,hl,permissible,金枪鱼,tuna,33,0.35,0.65,鱼类,fish,春,
87,42,延绳钓,hooks and lines,hl,permissible,金枪鱼,tuna,33,0.21,0.79,鱼类,fish,夏,
