case,literature,gear,,,target.species,No.species,target.species.ratio,Species,scientific name,weight.ratio,Group,scenario,note
1,1,ÈıÖØ´ÌÍø-¶¨ÖÃ,,,mantis shrimp,19,0.94,mantis.shrimp,Oratosquilla oratoria,0.94,shrimp,,
1,1,ÈıÖØ´ÌÍø-¶¨ÖÃ,,,mantis shrimp,19,0.94,Chinses.snapping.shrimp,Alpheus digitalis,0.03,shrimp,,
1,1,ÈıÖØ´ÌÍø-¶¨ÖÃ,,,mantis shrimp,19,0.94,trash.fish,,0.03,trash.fish,,
2,1,ÈıÖØ´ÌÍø-Æ¯Á÷,,,mantis shrimp,19,0.77,mantis.shrimp,Oratosquilla oratoria,0.79,shrimp,,
2,1,ÈıÖØ´ÌÍø-Æ¯Á÷,,,mantis shrimp,19,0.77,small.yellow.croaker,Larimichthys polyactis,0.05,fish,,
2,1,ÈıÖØ´ÌÍø-Æ¯Á÷,,,mantis shrimp,19,0.77,chaeturichthys.stigmatias,Amblychaeturichthys hexanema,0.02,fish,,
2,1,ÈıÖØ´ÌÍø-Æ¯Á÷,,,mantis shrimp,19,0.77,yellow.goosefish,Lophius litulon,0.05,fish,,
2,1,ÈıÖØ´ÌÍø-Æ¯Á÷,,,mantis shrimp,19,0.77,Chinses.snapping.shrimp,Alpheus distinguendus de Man,0.05,shrimp,,
2,1,ÈıÖØ´ÌÍø-Æ¯Á÷,,,mantis shrimp,19,0.77,Japanese.stone.crab,Charybdis japonica,0.01,crab,,
2,1,ÈıÖØ´ÌÍø-Æ¯Á÷,,,mantis shrimp,19,0.77,trash.fish,,0.02,trash.fish,,
3,1,µ¥Æ¬´ÌÍø-¶¨ÖÃ,,,mantis shrimp,3,0.96,mantis.shrimp,Oratosquilla oratoria,0.96,shrimp,,
3,1,µ¥Æ¬´ÌÍø-¶¨ÖÃ,,,mantis shrimp,3,0.96,Chinses.snapping.shrimp,Alpheus distinguendus de Man,0.04,shrimp,,
4,1,µ¥Æ¬´ÌÍø-Æ¯Á÷,,,mantis shrimp,6,0.79,mantis.shrimp,Oratosquilla oratoria,0.79,shrimp,,
4,1,µ¥Æ¬´ÌÍø-Æ¯Á÷,,,mantis shrimp,6,0.79,Yellow croaker,Larimichthys polyactis,0.18,fish,,
4,1,µ¥Æ¬´ÌÍø-Æ¯Á÷,,,mantis shrimp,6,0.79,chaeturichthys.stigmatias,Amblychaeturichthys hexanema,0.01,fish,,
4,1,µ¥Æ¬´ÌÍø-Æ¯Á÷,,,mantis shrimp,6,0.79,trash.fish,,0.02,trash.fish,,
5,2,èì¸ËÏºÍÏÍø,,,shrimp,135,0.28,spear.littoral.shrimp,Parapenaeopsis hardwickii,0.12,shrimp,,
5,2,èì¸ËÏºÍÏÍø,,,shrimp,135,0.28,coastal.mud.shrimp,Solenocera crassicornis,0.06,shrimp,,
5,2,èì¸ËÏºÍÏÍø,,,shrimp,135,0.28,trash.fish,,0.82,trash.fish,,
6,3,µÆ¹âÕÖÍø,,,squid+pelagic,92,0.96,kite.squid,Symplectoteuthis oualaniensis,0.48,,,
6,3,µÆ¹âÕÖÍø,,,squid+pelagic,92,0.96,skipjack.tuna,Katsuwonus pelamis,0.32,fish,,
6,3,µÆ¹âÕÖÍø,,,squid+pelagic,92,0.96,frigate.tuna,Auxis tapeinosoma,0.07,fish,,
6,3,µÆ¹âÕÖÍø,,,squid+pelagic,92,0.96,Kawakawa,Euthynnus yaito,0.04,fish,,
6,3,µÆ¹âÕÖÍø,,,squid+pelagic,92,0.96,frigate.tuna,Auxis thazard,0.03,fish,,
6,3,µÆ¹âÕÖÍø,,,squid+pelagic,92,0.96,yellowfin.tuna,Thunnus albacores,0.01,fish,,
6,3,µÆ¹âÕÖÍø,,,squid+pelagic,92,0.96,Atlantic pomfret,brama japonica,0.01,fish,,
6,3,µÆ¹âÕÖÍø,,,squid+pelagic,92,0.96,trash.fish,,0.04,trash.fish,,
7,4,µ¥Æ¬´ÌÍø,,,NA,26,NA,NA,NA,NA,NA,µ¥Æ¬´ÌÍø,index.available; 50mm
8,4,Ë«ÖØ´ÌÍø,,,NA,30,NA,NA,NA,NA,NA,Ë«ÖØ´ÌÍø,index.available; 50mm
9,4,ÈıÖØ´ÌÍø,,,NA,31,NA,NA,NA,NA,NA,ÈıÖØ´ÌÍø,index.available; 50mm
10,5,ÕÅÍø,,,NA,46,NA,Commerson's.anchovy,Stolephorus commersonii,0.02,fish,,
10,5,ÕÅÍø,,,NA,46,NA,Osbeck's.grenadier.anchovy,Coilia mystus,0.04,fish,,
10,5,ÕÅÍø,,,NA,46,NA,blunt-toothed.crab,Charybdis truncate,0.05,crab,,
10,5,ÕÅÍø,,,NA,46,NA,jinga.shrimp,Metapenaeus affinis,0.02,shrimp,,
10,5,ÕÅÍø,,,NA,46,NA,Orangefin.ponyfish,Leiognathus bindus,0.02,fish,,
10,5,ÕÅÍø,,,NA,46,NA,blacktip.sardinella,Sardinella melanura,0.03,fish,,
10,5,ÕÅÍø,,,NA,46,NA,Rubicundus eelgoby ,Odontamblyopus rubicundus,0.03,fish,,
10,5,ÕÅÍø,,,NA,46,NA,greasy-back.shrimp,Metapenaeus ensis,0.01,shrimp,,
10,5,ÕÅÍø,,,NA,46,NA,speckled.tonguesole,Cynoglossus puncticeps,0.01,fish,,
10,5,ÕÅÍø,,,NA,46,NA,"dog,shrimp",Parapenaeopsis hungerfordi,0.01,shrimp,,
10,5,ÕÅÍø,,,NA,46,NA,light.maigre,collichthys lucidus,0.03,fish,,
10,5,ÕÅÍø,,,NA,46,NA,broadbanded.cardinalfish,Apogon quadrifasciatus,0.01,fish,,
10,5,ÕÅÍø,,,NA,46,NA,Bombay-duck,Harpodon nehereus,0.01,fish,,
10,5,ÕÅÍø,,,NA,46,NA,Belanger's.croaker,Johnius belengeri,0.01,fish,,
10,5,ÕÅÍø,,,NA,46,NA,dotted.gizzard.shad,Konosirus?punctatus,0.01,fish,,
10,5,ÕÅÍø,,,NA,46,NA,flathead.grey.mullet,Mugil cephalus,0.01,fish,,
10,5,ÕÅÍø,,,NA,46,NA,trash.fish,,0.68,trash.fish,,
11,6,Ë«×®Êú¸ËÕÅÍø,,,NA,48,NA,Pacific.sandlance,Ammodytes personatus,0.31,fish,30mmÁâÄ¿ÍøÄÒ,
11,6,Ë«×®Êú¸ËÕÅÍø,,,NA,48,NA,seaweed.pipefish,Syngnathus schlegeli,0.11,fish,30mmÁâÄ¿ÍøÄÒ,
11,6,Ë«×®Êú¸ËÕÅÍø,,,NA,48,NA,pinkgray.goby,Amblychaeturichthys hexanema,0.08,fish,30mmÁâÄ¿ÍøÄÒ,
11,6,Ë«×®Êú¸ËÕÅÍø,,,NA,48,NA,fat.greenling,Hexagrammos otakii,0.05,fish,30mmÁâÄ¿ÍøÄÒ,
11,6,Ë«×®Êú¸ËÕÅÍø,,,NA,48,NA,kammal.thryssa,Thrissa kammalensis,0.08,fish,30mmÁâÄ¿ÍøÄÒ,
11,6,Ë«×®Êú¸ËÕÅÍø,,,NA,48,NA,trash.fish,,0.37,trash.fish,30mmÁâÄ¿ÍøÄÒ,
12,6,Ë«×®Êú¸ËÕÅÍø,,,NA,48,NA,pinkgray.goby,Amblychaeturichthys hexanema,0.07,fish,30mm·½Ä¿ÍøÄÒ,
12,6,Ë«×®Êú¸ËÕÅÍø,,,NA,48,NA,fat.greenling,Hexagrammos otakii,0.01,fish,31mm·½Ä¿ÍøÄÒ,
12,6,Ë«×®Êú¸ËÕÅÍø,,,NA,48,NA,kammal.thryssa,Thrissa kammalensis,0.03,fish,32mm·½Ä¿ÍøÄÒ,
12,6,Ë«×®Êú¸ËÕÅÍø,,,NA,48,NA,trash.fish,,0.89,trash.fish,33mm·½Ä¿ÍøÄÒ,
13,7,·«ÕÅÍø,,,small yellow croaker+hairtail,30,0.74,largehead.hairtail,Trichiurus haumela,0.57,fish,,
13,7,·«ÕÅÍø,,,small yellow croaker+hairtail,30,0.74,small.yellow.croaker,Larimichthys polyactis,0.17,fish,,
13,7,·«ÕÅÍø,,,small yellow croaker+hairtail,30,0.74,silver.pomfret,Pampus argenteus,0.05,fish,,
13,7,·«ÕÅÍø,,,small yellow croaker+hairtail,30,0.74,light.maigre,collichthys lucidus,0.03,fish,,
13,7,·«ÕÅÍø,,,small yellow croaker+hairtail,30,0.74,Bombay-duck,Harpodon nehereus,0.01,fish,,
13,7,·«ÕÅÍø,,,small yellow croaker+hairtail,30,0.74,swimming.crab,Portunus trituberculatus,0.03,crab,,
13,7,·«ÕÅÍø,,,small yellow croaker+hairtail,30,0.74,red-spotted.swimming.crab,Portunus sanguinolentus,0.02,crab,,
13,7,·«ÕÅÍø,,,small yellow croaker+hairtail,30,0.74,flathead.grey.mullet,Mugil cephalus,0.01,fish,,
13,7,·«ÕÅÍø,,,small yellow croaker+hairtail,30,0.74,daggertooth.pike.conger,Muraenesox cinereus,0.01,fish,,
13,7,·«ÕÅÍø,,,small yellow croaker+hairtail,30,0.74,trash.fish,,0.1,trash.fish,,
14,8,µÆ¹âÕÖÍø,,,squid+pelagic,46,0.99,kite.squid,Symplectoteuthis oualaniensis,0.96,,,
14,8,µÆ¹âÕÖÍø,,,squid+pelagic,46,0.99,shortfin.scad,Decapterus macrosoma,0.01,fish,,
14,8,µÆ¹âÕÖÍø,,,squid+pelagic,46,0.99,yellowfin.tuna,Thunnus albacaes,0.01,fish,,
14,8,µÆ¹âÕÖÍø,,,squid+pelagic,46,0.99,trash.fish,,0.02,trash.fish,,
15,9,èì¸ËÏºÍÏÍø,,,shrimp,71,0.97,Kuruma.prawn,Marsupenaeus japonicus,0.35,shrimp,,
15,9,èì¸ËÏºÍÏÍø,,,shrimp,71,0.97,greasy-back.shrimp,Metapenaeus ensis,0.22,shrimp,,
15,9,èì¸ËÏºÍÏÍø,,,shrimp,71,0.97,jinga.shrimp,Metapenaeus affinis,0.18,shrimp,,
15,9,èì¸ËÏºÍÏÍø,,,shrimp,71,0.97,Shiba.shrimp,Metapenaeus joyneri,0.21,shrimp,,
15,9,èì¸ËÏºÍÏÍø,,,shrimp,71,0.97,"dog,shrimp",Parapenaeopsis hungerfordi,0.01,shrimp,,
15,9,èì¸ËÏºÍÏÍø,,,shrimp,71,0.97,trash.fish,,0.03,trash.fish,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,spear.littoral.shrimp,Parapenaeopsis hardwickii,0.14,shrimp,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,coastal.mud.shrimp,Solenocera crassicornis,0.07,shrimp,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,high.ridge.mud.shrimp,Solenocera alticarinata,0.07,shrimp,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,mantis.shrimp,Oratosquilla oratoria,0.04,shrimp,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,white-hair.rough.shrimp,Trachypenaeus curvirostris,0.01,shrimp,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,Three-lined.tongue.sole,Cynoglossus abbreviatus,0.03,fish,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,swimming.crab,Portunus trituberculatus,0.15,crab,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,Kuruma.prawn,Marsupenaeus japonicus,0.02,shrimp,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,light.maigre,collichthys lucidus,0.01,fish,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,red-spotted.swimming.crab,Portunus sanguinolentus,0.07,crab,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,silver.croaker,Argyrosomus argentatus,0.02,fish,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,small.yellow.croaker,Larimichthys polyactis,0.02,fish,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,miiuy.croaker,Miichthys miiuy,0.05,fish,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,whitespotted.conger,Astroconger myriaster,0.05,fish,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,daggertooth.pike.conger,Muraenesox cinereus,0.06,fish,,
16,10,èì¸ËÏºÍÏÍø,,,shrimp,36,0.35,trash.fish,,0.19,trash.fish,,
17,11,Æ¯Á÷µ¥Æ¬´ÌÍø,,,mackerel,11,0.9,Narrow-barred.Spanish.mackerel,Scomberomorus commerson,0.63,fish,,
17,11,Æ¯Á÷µ¥Æ¬´ÌÍø,,,mackerel,11,0.9,kawakawa,Euthynnus affinis,0.27,fish,,
17,11,Æ¯Á÷µ¥Æ¬´ÌÍø,,,mackerel,11,0.9,black.pomfret,Parastromateus niger,0.02,fish,,
17,11,Æ¯Á÷µ¥Æ¬´ÌÍø,,,mackerel,11,0.9,frigate.tuna,Auxis thazard,0.01,fish,,
17,11,Æ¯Á÷µ¥Æ¬´ÌÍø,,,mackerel,11,0.9,trash.fish,,0.07,trash.fish,,
18,12,Æ¯Á÷µ¥Æ¬´ÌÍø,,,Bombay duck,39,0.64,Bombay-duck,Harpodon nehereus,0.64,fish,,
18,12,Æ¯Á÷µ¥Æ¬´ÌÍø,,,Bombay duck,39,0.64,sin.croaker,Johnius dussumieri,0.09,fish,,
18,12,Æ¯Á÷µ¥Æ¬´ÌÍø,,,Bombay duck,39,0.64,gold.sardinella,Sardinella aurita,0.05,fish,,
18,12,Æ¯Á÷µ¥Æ¬´ÌÍø,,,Bombay duck,39,0.64,Elongate.ilisha,Ilisha elongata,0.05,fish,,
18,12,Æ¯Á÷µ¥Æ¬´ÌÍø,,,Bombay duck,39,0.64,"largescale,tonguesole",Cynoglossus macrolepidotus,0.01,fish,,
18,12,Æ¯Á÷µ¥Æ¬´ÌÍø,,,Bombay duck,39,0.64,largehead.hairtail,Trichiurus haumela,0.03,fish,,
18,12,Æ¯Á÷µ¥Æ¬´ÌÍø,,,Bombay duck,39,0.64,trash.fish,,0.13,trash.fish,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,spear.littoral.shrimp,Parapenaeopsis hardwickii,0.4,shrimp,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,white-hair.rough.shrimp,Trachypenaeus curvirostris,0.2,shrimp,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,mantis.shrimp,Oratosquilla oratoria,0.1,shrimp,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,crimson.sea.bream,Parargyrops edita,0.03,fish,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,p.c.shrimp,Parapenaeopsis cultirostris,0.01,shrimp,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,whiskered.velvet.shrimp,Metapenaeopsis barbata,0.01,shrimp,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,Kuruma.prawn,Marsupenaeus japonicus,0.01,shrimp,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,Japanese.goatfish,Upeneu bensasi,0.01,fish,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,Japanese.sillago,Sillago japonica,0.01,fish,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,Shiba.shrimp,Metapenaeus joyneri,0.01,shrimp,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,Indian.squid,Loligo duvaucelii,0.01,,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,"largescale,tonguesole",Cynoglossus macrolepidotus,0.01,fish,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,speckled.tonguesole,Cynoglossus puncticeps,0.01,fish,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,yellow-spotted.skate,Okamejei hollandi,0.01,fish,,
19,13,èì¸ËÏºÍÏÍø,,,shrimp,62,0.64,trash.fish,,0.1,trash.fish,,
20,14,Ğ·Áı,,,crab,72,0.39,Belanger's.croaker,Johnius belengerii,0.22,fish,,
20,14,Ğ·Áı,,,crab,72,0.39,red-spotted.swimming.crab,Portunus sanguinolentus,0.13,crab,,
20,14,Ğ·Áı,,,crab,72,0.39,Japanese.stone.crab,Charybdis japonica,0.11,crab,,
20,14,Ğ·Áı,,,crab,72,0.39,mantis.shrimp,Oratosquilla oratoria,0.06,shrimp,,
20,14,Ğ·Áı,,,crab,72,0.39,corab.crab,Charybdis feriatus,0.05,crab,,
20,14,Ğ·Áı,,,crab,72,0.39,spotted.moray,Gymnothorax reticularis,0.04,fish,,
20,14,Ğ·Áı,,,crab,72,0.39,hairy.backed.crab,Charybdis natator,0.04,crab,,
20,14,Ğ·Áı,,,crab,72,0.39,box.crab,Calappa philargius,0.03,crab,,
20,14,Ğ·Áı,,,crab,72,0.39,warty.swimming.crab,Portunus haanii,0.03,crab,,
20,14,Ğ·Áı,,,crab,72,0.39,silver.croaker,Argy rosomus argentatus,0.01,fish,,
20,14,Ğ·Áı,,,crab,72,0.39,crimson.sea.bream,Parargyrops edita,0.01,fish,,
20,14,Ğ·Áı,,,crab,72,0.39,trash.fish,,0.27,trash.fish,,
21,15,Ğë×ÓÍø,,,NA,38,NA,p.p.crab,Philyra pisum,0.14,crab,´º,
21,15,Ğë×ÓÍø,,,NA,38,NA,pinkgray.goby,Amblychaeturichthys hexanema,0.07,fish,´º,
21,15,Ğë×ÓÍø,,,NA,38,NA,largemouth.goby,Chasmichthys gulosus,0.1,fish,´º,
21,15,Ğë×ÓÍø,,,NA,38,NA,branded.goby,Chaeturichthys stigmatias,0.1,fish,´º,
21,15,Ğë×ÓÍø,,,NA,38,NA,iso.shrimp,Eualus sinensis,0.01,shrimp,´º,
21,15,Ğë×ÓÍø,,,NA,38,NA,mantis.shrimp,Oratosquilla oratoria,0.08,shrimp,´º,
21,15,Ğë×ÓÍø,,,NA,38,NA,chameleon.goby,Tridentiger trigonocephalus,0.03,fish,´º,
21,15,Ğë×ÓÍø,,,NA,38,NA,So-iuy.mullet,Liza haematocheila,0.07,fish,´º,
21,15,Ğë×ÓÍø,,,NA,38,NA,Atlantic.marsh.fiddler,Uca pugnax,0.02,crab,´º,
21,15,Ğë×ÓÍø,,,NA,38,NA,Shiba.shrimp,Metapenaeus joyneri,0.01,shrimp,´º,
21,15,Ğë×ÓÍø,,,NA,38,NA,trash.fish,,0.37,trash.fish,´º,
22,15,Ğë×ÓÍø,,,NA,25,NA,largemouth.goby,Chasmichthys gulosus,0.15,fish,ÏÄ,
22,15,Ğë×ÓÍø,,,NA,25,NA,mantis.shrimp,Oratosquilla oratoria,0.17,shrimp,ÏÄ,
22,15,Ğë×ÓÍø,,,NA,25,NA,silver.sillago,Sillago sihama,0.03,fish,ÏÄ,
