ÓãÖÖ,species,group,mention.frequency,national.catch,
´øÓã,largehead hairtail,fish,20,916693,
÷–Óã,Japanese anchovy,fish,14,625352,
À¶Ô²÷“,Japanese scad,fish,5,448739,
öØÓã,chub mackerel,fish,12,414710,
öÑÓã,Japanese Spanish mackerel,fish,14,348929,
½ğÏßÓã,,fish,0,329187,
öğÓã,pomfret,fish,10,326621,
º£÷©,,fish,0,309524,
Ğ¡»ÆÓã,small yellow croaker,fish,25,284238,
,,,,,
Ã«Ïº,planktonic shrimp,shrimp,8,389217,
¿ÚÏºòÁ,mantis shrimp,shrimp,36,221355,
¶ÔÏº,shrimp,shrimp,27,215435,check
Ó¥×¦Ïº,white-hair rough shrimp,shrimp,11,240249,
,,,,,
Ëó×ÓĞ·,swimming crab,crab,29,458380,
,,,,,
±´Àà,shellfish,shellfish,8,411943,
,,,,,
ÎÚÔô,squid,cephalopods,3,131067,
öÏÓã,squid,cephalopods,22,289987,
ÕÂÓã,octopus,cephalopods,8,106014,
,,,,,
º£òØ,jellyfish,jellyfish,9,145794,
,,,,,
ÔÓÓã,trash fish,,96,,
